round,trial,score,vs_left,action,win_probability,win_low,win_high,conv_low,conv_high
1,1,0,0,small,0.054919829518736696,70.0,100.0,,
1,1,0,0,large,0.054919829518736675,70.0,100.0,,
1,1,0,1,small,0.10068057171440659,70.0,100.0,,
1,1,0,1,large,0.10068057171440656,70.0,100.0,,
1,1,0,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,0,2,small,0.15182340822437412,70.0,100.0,,
1,1,0,2,large,0.15182340822437412,70.0,100.0,,
1,1,0,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,0,3,small,0.19968689175068446,70.0,100.0,,
1,1,0,3,large,0.1996868917506845,70.0,100.0,,
1,1,0,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,1,0,small,0.054919829518736696,70.0,100.0,,
1,1,1,0,large,0.054919829518736675,70.0,100.0,,
1,1,1,1,small,0.10068057171440659,70.0,100.0,,
1,1,1,1,large,0.10068057171440656,70.0,100.0,,
1,1,1,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,1,2,small,0.15182340822437412,70.0,100.0,,
1,1,1,2,large,0.15182340822437412,70.0,100.0,,
1,1,1,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,1,3,small,0.19968689175068446,70.0,100.0,,
1,1,1,3,large,0.1996868917506845,70.0,100.0,,
1,1,1,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,2,0,small,0.054919829518736696,70.0,100.0,,
1,1,2,0,large,0.054919829518736675,70.0,100.0,,
1,1,2,1,small,0.10068057171440659,70.0,100.0,,
1,1,2,1,large,0.10068057171440656,70.0,100.0,,
1,1,2,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,2,2,small,0.15182340822437412,70.0,100.0,,
1,1,2,2,large,0.15182340822437412,70.0,100.0,,
1,1,2,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,2,3,small,0.19968689175068446,70.0,100.0,,
1,1,2,3,large,0.1996868917506845,70.0,100.0,,
1,1,2,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,3,0,small,0.054919829518736696,70.0,100.0,,
1,1,3,0,large,0.054919829518736675,70.0,100.0,,
1,1,3,1,small,0.10068057171440659,70.0,100.0,,
1,1,3,1,large,0.10068057171440656,70.0,100.0,,
1,1,3,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,3,2,small,0.15182340822437412,70.0,100.0,,
1,1,3,2,large,0.15182340822437412,70.0,100.0,,
1,1,3,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,3,3,small,0.19968689175068446,70.0,100.0,,
1,1,3,3,large,0.1996868917506845,70.0,100.0,,
1,1,3,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,4,0,small,0.054919829518736696,70.0,100.0,,
1,1,4,0,large,0.054919829518736675,70.0,100.0,,
1,1,4,1,small,0.10068057171440659,70.0,100.0,,
1,1,4,1,large,0.10068057171440656,70.0,100.0,,
1,1,4,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,4,2,small,0.15182340822437412,70.0,100.0,,
1,1,4,2,large,0.15182340822437412,70.0,100.0,,
1,1,4,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,4,3,small,0.19968689175068446,70.0,100.0,,
1,1,4,3,large,0.1996868917506845,70.0,100.0,,
1,1,4,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,5,0,small,0.054919829518736696,70.0,100.0,,
1,1,5,0,large,0.054919829518736675,70.0,100.0,,
1,1,5,1,small,0.10068057171440659,70.0,100.0,,
1,1,5,1,large,0.10068057171440656,70.0,100.0,,
1,1,5,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,5,2,small,0.15182340822437412,70.0,100.0,,
1,1,5,2,large,0.15182340822437412,70.0,100.0,,
1,1,5,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,5,3,small,0.19968689175068446,70.0,100.0,,
1,1,5,3,large,0.1996868917506845,70.0,100.0,,
1,1,5,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,6,0,small,0.054919829518736696,70.0,100.0,,
1,1,6,0,large,0.054919829518736675,70.0,100.0,,
1,1,6,1,small,0.10068057171440659,70.0,100.0,,
1,1,6,1,large,0.10068057171440656,70.0,100.0,,
1,1,6,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,6,2,small,0.15182340822437412,70.0,100.0,,
1,1,6,2,large,0.15182340822437412,70.0,100.0,,
1,1,6,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,6,3,small,0.19968689175068446,70.0,100.0,,
1,1,6,3,large,0.1996868917506845,70.0,100.0,,
1,1,6,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,7,0,small,0.054919829518736696,70.0,100.0,,
1,1,7,0,large,0.054919829518736675,70.0,100.0,,
1,1,7,1,small,0.10068057171440659,70.0,100.0,,
1,1,7,1,large,0.10068057171440656,70.0,100.0,,
1,1,7,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,7,2,small,0.15182340822437412,70.0,100.0,,
1,1,7,2,large,0.15182340822437412,70.0,100.0,,
1,1,7,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,7,3,small,0.19968689175068446,70.0,100.0,,
1,1,7,3,large,0.1996868917506845,70.0,100.0,,
1,1,7,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,8,0,small,0.054919829518736696,70.0,100.0,,
1,1,8,0,large,0.054919829518736675,70.0,100.0,,
1,1,8,1,small,0.10068057171440659,70.0,100.0,,
1,1,8,1,large,0.10068057171440656,70.0,100.0,,
1,1,8,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,8,2,small,0.15182340822437412,70.0,100.0,,
1,1,8,2,large,0.15182340822437412,70.0,100.0,,
1,1,8,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,8,3,small,0.19968689175068446,70.0,100.0,,
1,1,8,3,large,0.1996868917506845,70.0,100.0,,
1,1,8,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,9,0,small,0.054919829518736696,70.0,100.0,,
1,1,9,0,large,0.054919829518736675,70.0,100.0,,
1,1,9,1,small,0.10068057171440659,70.0,100.0,,
1,1,9,1,large,0.10068057171440656,70.0,100.0,,
1,1,9,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,9,2,small,0.15182340822437412,70.0,100.0,,
1,1,9,2,large,0.15182340822437412,70.0,100.0,,
1,1,9,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,9,3,small,0.19968689175068446,70.0,100.0,,
1,1,9,3,large,0.1996868917506845,70.0,100.0,,
1,1,9,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,10,0,small,0.054919829518736696,70.0,100.0,,
1,1,10,0,large,0.054919829518736675,70.0,100.0,,
1,1,10,1,small,0.10068057171440659,70.0,100.0,,
1,1,10,1,large,0.10068057171440656,70.0,100.0,,
1,1,10,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,10,2,small,0.15182340822437412,70.0,100.0,,
1,1,10,2,large,0.15182340822437412,70.0,100.0,,
1,1,10,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,10,3,small,0.19968689175068446,70.0,100.0,,
1,1,10,3,large,0.1996868917506845,70.0,100.0,,
1,1,10,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,11,0,small,0.054919829518736696,70.0,100.0,,
1,1,11,0,large,0.054919829518736675,70.0,100.0,,
1,1,11,1,small,0.10068057171440659,70.0,100.0,,
1,1,11,1,large,0.10068057171440656,70.0,100.0,,
1,1,11,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,11,2,small,0.15182340822437412,70.0,100.0,,
1,1,11,2,large,0.15182340822437412,70.0,100.0,,
1,1,11,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,11,3,small,0.19968689175068446,70.0,100.0,,
1,1,11,3,large,0.1996868917506845,70.0,100.0,,
1,1,11,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,12,0,small,0.054919829518736696,70.0,100.0,,
1,1,12,0,large,0.054919829518736675,70.0,100.0,,
1,1,12,1,small,0.10068057171440659,70.0,100.0,,
1,1,12,1,large,0.10068057171440656,70.0,100.0,,
1,1,12,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,12,2,small,0.15182340822437412,70.0,100.0,,
1,1,12,2,large,0.15182340822437412,70.0,100.0,,
1,1,12,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,12,3,small,0.19968689175068446,70.0,100.0,,
1,1,12,3,large,0.1996868917506845,70.0,100.0,,
1,1,12,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,13,0,small,0.054919829518736696,70.0,100.0,,
1,1,13,0,large,0.054919829518736675,70.0,100.0,,
1,1,13,1,small,0.10068057171440659,70.0,100.0,,
1,1,13,1,large,0.10068057171440656,70.0,100.0,,
1,1,13,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,13,2,small,0.15182340822437412,70.0,100.0,,
1,1,13,2,large,0.15182340822437412,70.0,100.0,,
1,1,13,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,13,3,small,0.19968689175068446,70.0,100.0,,
1,1,13,3,large,0.1996868917506845,70.0,100.0,,
1,1,13,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,14,0,small,0.054919829518736696,70.0,100.0,,
1,1,14,0,large,0.054919829518736675,70.0,100.0,,
1,1,14,1,small,0.10068057171440659,70.0,100.0,,
1,1,14,1,large,0.10068057171440656,70.0,100.0,,
1,1,14,1,very_small,0.054919829518736696,70.0,100.0,,
1,1,14,2,small,0.15182340822437412,70.0,100.0,,
1,1,14,2,large,0.15182340822437412,70.0,100.0,,
1,1,14,2,very_small,0.10068057171440659,70.0,100.0,,
1,1,14,3,small,0.19968689175068446,70.0,100.0,,
1,1,14,3,large,0.1996868917506845,70.0,100.0,,
1,1,14,3,very_small,0.15182340822437412,70.0,100.0,,
1,1,15,0,small,0.054919829518736696,70.0,100.0,,
1,1,15,0,large,0.054919829518736675,70.0,100.0,,
1,1,15,1,small,0.10068057171440659,70.0,100.0,,
1,1,15,1,large,0.10068057171440656,70.0,100.0,,
